RECORD ID NUMBER,INPUT ADDRESS ,TIGER ADDRESS RANGE MATCH INDICATOR,TIGER MATCH TYPE,TIGER OUTPUT ADDRESS,LONGITUDE ,LATITUDE,TIGERLINE ID,TIGERLINE ID SIDE,STATE CODE,COUNTY CODE,TRACT CODE,BLOCK CODE
Veteran's Memorial Community Regional Park,"13000 Sayre St, Sylmar, 91342",Match,Non_Exact,"13000 SAYRE ST, SYLMAR, CA, 91342",-118.4171561,34.32484314,142675597,L,06,037,106111,2003
Porter Ranch Branch Library,"11371 Tampa Avenue, Porter Ranch, 91326",Match,Non_Exact,"11371 TAMPA AVE, PORTER RANCH, CA, 91326",-118.5585263,34.27677975,651554698,L,06,037,108102,1000
Northwest Library,"3323 W. Victory Blvd., Burbank, 91505",Match,Non_Exact,"3323 W VICTORY BLVD, BURBANK, CA, 91505",-118.3472137,34.18476377,141592412,R,06,037,311000,3017
Roy Campanella Park,"14812 S Stanford Ave, Compton, 90220",Match,Non_Exact,"14812 S STANFORD AVE, COMPTON, CA, 90220",-118.2610951,33.89868067,241243909,L,06,037,541100,3001
A C Bilbrew Library,"150 E El Segundo Blvd , Los Angeles , 90061",Match,Non_Exact,"150 E EL SEGUNDO BLVD, LOS ANGELES, CA, 90061",-118.2720945,33.91636586,142761817,R,06,037,540902,3002
Col. Leon H. Washington Park,"8908 Maie Ave, Los Angeles, 90002",Match,Non_Exact,"8908 S MAIE AVE, LOS ANGELES, CA, 90002",-118.24415,33.95334102,642865131,L,06,037,535200,1000
East Rancho Dominguez Community Center and Park,"15116 S. Atlantic Avenue, Compton, 90221",Match,Non_Exact,"15116 S ATLANTIC AVE, COMPTON, CA, 90221",-118.1933262,33.89604122,142765721,L,06,037,542106,2006
West Hollywood Library,"625 N. San Vicente Blvd, West Hollywood, 90069",Match,Non_Exact,"625 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA, 90069",-118.3838517,34.08319501,142848027,L,06,037,700400,3010
Dee Hardison Sports Center - Lobby,"2400 Jefferson Street, Torrance, 90501",Match,Non_Exact,"2400 JEFFERSON ST, TORRANCE, CA, 90501",-118.3268449,33.82758011,142756931,L,06,037,650904,2005
Antelope Valley Senior Center,"777 W. Jackman Street, Lancaster, 93534",Match,Non_Exact,"777 W JACKMAN ST, LANCASTER, CA, 93534",-118.1439267,34.7013251,241238630,L,06,037,900806,2000
John Muir Branch Library,"1005 W. 64th Street, Los Angeles, 90044",Match,Non_Exact,"1005 W 64TH ST, LOS ANGELES, CA, 90044",-118.29207,33.98148745,142753372,R,06,037,237401,2001
East Los Angeles Service Center,"133 N. Sunol Drive, Los Angeles, 90063",Match,Non_Exact,"133 N SUNOL DR, LOS ANGELES, CA, 90063",-118.178697,34.0367561,141625726,L,06,037,531102,1006
Palisades Branch Library,"861 Alma Real Drive, Pacific Palisades, 90272",Match,Non_Exact,"861 ALMA REAL DR, PACIFIC PALISADES, CA, 90272",-118.5248201,34.04429564,141558519,L,06,037,262706,1005
Robertson Branch Library,"1719 S. Robertson Boulevard, Los Angeles, 90035",Match,Non_Exact,"1719 S ROBERTSON BLVD, LOS ANGELES, CA, 90035",-118.385683,34.04845357,141573039,R,06,037,217001,1013
George Washington Carver Park ," 1400 E 118th St, Los Angeles, 90059",Match,Non_Exact,"1400 E 118TH ST, LOS ANGELES, CA, 90059",-118.2505478,33.92631041,141673547,R,06,037,540700,2015
Chatsworth Branch Library,"21052 Devonshire Street, Chatsworth, 91311",Match,Non_Exact,"21052 DEVONSHIRE ST, CHATSWORTH, CA, 91311",-118.5919071,34.25718209,141532052,L,06,037,113323,1000
Playa Vista Branch Library,"6400 Playa Vista Dr., Los Angeles, 90094",Match,Non_Exact,"6400 S PLAYA VISTA DR, LOS ANGELES, CA, 90094",-118.4263244,33.9705675,241173799,L,06,037,275604,2000
Sunland - Tujunga Branch Library,"7771 Foothill Boulevard, Tujunga, 91042",Match,Non_Exact,"7771 FOOTHILL BLVD, TUJUNGA, CA, 91042",-118.3017052,34.25822163,141587892,R,06,037,101110,2007
South Whittier Library,"11543 Colima Rd, Whittier, 90604",Match,Non_Exact,"11543 COLIMA RD, WHITTIER, CA, 90604",-118.0231249,33.92689735,241247079,R,06,037,503201,1012
El Cariso Community Regional Park,"13100 Hubbard St, Sylmar, 91342",Match,Non_Exact,"13100 HUBBARD ST, SYLMAR, CA, 91342",-118.4183523,34.31797616,141546313,L,06,037,106111,1000
Antelope Valley Comprehensive AJCC,"1420 West Avenue I, Lancaster, 93534",Match,Non_Exact,"1420 W AVE I, LANCASTER, CA, 93534",-118.1555586,34.70393777,141525874,R,06,037,900805,3002
East Los Angeles Library,"4837 E 3rd Street, Los Angeles , 90022",Match,Non_Exact,"4837 E 3RD ST, LOS ANGELES, CA, 90022",-118.1600496,34.03343012,141637581,L,06,037,530400,3018
Mid-Valley Regional Library,"16244 Nordhoff Street, North Hills, 91343",Match,Non_Exact,"16244 NORDHOFF ST, NORTH HILLS, CA, 91343",-118.4856393,34.23559159,640419160,L,06,037,117303,1000
San Gabriel Library,"500 S. Del Mar Ave, San Gabriel, 91776",Match,Non_Exact,"500 S DEL MAR AVE, SAN GABRIEL, CA, 91776",-118.0995156,34.09599727,635194509,L,06,037,481103,1009
Lomita Library,"24200 Narbonne Ave, Lomita, 90717",Match,Non_Exact,"24200 NARBONNE AVE, LOMITA, CA, 90717",-118.3198594,33.80542242,141668757,L,06,037,670001,2000
Panorama City Branch Library,"14345 Roscoe Boulevard, Panorama City, 91402",Match,Non_Exact,"14345 ROSCOE BLVD, PANORAMA CITY, CA, 91402",-118.4460155,34.22165207,141550107,R,06,037,120104,1002
Arroyo Seco Regional Library,"6145 N. Figueroa Street, Los Angeles, 90042",Match,Non_Exact,"6145 N FIGUEROA ST, LOS ANGELES, CA, 90042",-118.1884288,34.11179568,142253643,L,06,037,183620,2003
