TRACT,TRACTFIPS,HWAV_EVNTS,HWAV_RISKV,HWAV_RISKS,HWAV_RISKR
400100,6001400100,24.33317842,2647.154385,30.98630072,Relatively Low
400200,6001400200,8,1042.514215,22.1221995,Relatively Low
400300,6001400300,8,3421.48965,34.33620321,Relatively Low
400400,6001400400,8,2137.49498,28.59487228,Relatively Low
400500,6001400500,8,1854.243158,27.1619179,Relatively Low
400600,6001400600,8,831.7453823,20.62265138,Relatively Low
400700,6001400700,8,3214.56992,33.49902488,Relatively Low
400800,6001400800,8,2400.183822,29.88274747,Relatively Low
400900,6001400900,8,1460.076734,24.84183989,Relatively Low
401000,6001401000,8,3950.366686,36.32925843,Relatively Low
401100,6001401100,8,3405.285171,34.27912287,Relatively Low
401200,6001401200,8,1523.524778,25.22356467,Relatively Low
401300,6001401300,8,4384.901932,37.91799458,Relatively Low
401400,6001401400,8,4380.716748,37.90253532,Relatively Low
401500,6001401500,8,1906.862518,27.44613043,Relatively Low
401600,6001401600,8,2526.248895,30.43333492,Relatively Low
401700,6001401700,4.249704024,4140.897779,37.01897921,Relatively Low
401800,6001401800,8,1232.026409,23.43266898,Relatively Low
402200,6001402200,8,2242.578188,29.13832469,Relatively Low
402400,6001402400,8,2082.493628,28.34514579,Relatively Low
402500,6001402500,8,1565.92213,25.51966893,Relatively Low
402600,6001402600,8,1038.280544,22.10317272,Relatively Low
402700,6001402700,8,1196.279743,23.17223993,Relatively Low
402801,6001402801,8,2498.193902,30.30966085,Relatively Low
402802,6001402802,8,1290.422577,23.81677211,Relatively Low
402900,6001402900,8,1635.792935,25.97155496,Relatively Low
403000,6001403000,8,2774.45247,31.54759073,Relatively Low
403100,6001403100,8,1216.949739,23.31969747,Relatively Low
403301,6001403301,8,1685.267166,26.23317319,Relatively Low
403302,6001403302,6.539460464,1395.887365,24.43752081,Relatively Low
403401,6001403401,8,2374.033822,29.75312753,Relatively Low
403402,6001403402,8,887.0510758,21.01745707,Relatively Low
403501,6001403501,8,4222.312384,37.28654331,Relatively Low
403502,6001403502,8,1408.30621,24.51243876,Relatively Low
403600,6001403600,8,3211.740492,33.48594397,Relatively Low
403701,6001403701,8,1818.839513,26.97878514,Relatively Low
403702,6001403702,8,1141.512629,22.80716358,Relatively Low
403800,6001403800,8,1842.827326,27.08581078,Relatively Low
403900,6001403900,8,2213.701223,28.9837321,Relatively Low
404000,6001404000,8,1526.347091,25.24734814,Relatively Low
404101,6001404101,8,1493.482479,25.06064786,Relatively Low
404102,6001404102,8,1720.430969,26.43295438,Relatively Low
404200,6001404200,8,1977.294984,27.81477429,Relatively Low
404300,6001404300,8,1599.007093,25.73966608,Relatively Low
404400,6001404400,23.70529626,6331.046001,43.64862294,Relatively Low
404501,6001404501,8,664.2127573,19.41682919,Relatively Low
404502,6001404502,25.0130341,8577.427268,48.79298863,Relatively Low
404600,6001404600,25.08930308,7236.971914,45.85810779,Relatively Low
404700,6001404700,8,740.6034181,19.98644342,Relatively Low
404800,6001404800,8,1571.214406,25.54226324,Relatively Low
404900,6001404900,8,2267.458949,29.2786472,Relatively Low
405000,6001405000,8,1818.652196,26.97759597,Relatively Low
405100,6001405100,8,1373.63061,24.31146839,Relatively Low
405200,6001405200,8,3032.899116,32.6868192,Relatively Low
405301,6001405301,8,1630.600253,25.94539314,Relatively Low
405302,6001405302,8,2022.399164,28.03239309,Relatively Low
405401,6001405401,8,2977.36609,32.45017362,Relatively Low
405402,6001405402,8,2538.867303,30.4975503,Relatively Low
405500,6001405500,8,2629.108308,30.90662608,Relatively Low
405600,6001405600,8,2424.944332,29.98739476,Relatively Low
405700,6001405700,8,2466.26246,30.19074347,Relatively Low
405800,6001405800,8,3311.016498,33.8878847,Relatively Low
405901,6001405901,8,3919.140147,36.18893593,Relatively Low
405902,6001405902,8,2612.950888,30.83051896,Relatively Low
406000,6001406000,6.404153238,4330.449089,37.68372735,Relatively Low
406100,6001406100,7.905516362,4779.536429,39.22965324,Relatively Low
406201,6001406201,8,4510.997993,38.34252961,Relatively Low
406202,6001406202,8,4434.902187,38.07615469,Relatively Low
406300,6001406300,8,3658.886708,35.25067783,Relatively Low
406400,6001406400,8,1881.080789,27.29986206,Relatively Low
406500,6001406500,8,5616.429055,41.66864862,Relatively Low
406601,6001406601,8,3924.698123,36.21985445,Relatively Low
406602,6001406602,8,2007.748245,27.96104267,Relatively Low
406700,6001406700,8,3132.813317,33.14227275,Relatively Low
406800,6001406800,8,2176.422238,28.77681587,Relatively Low
406900,6001406900,8,2463.249779,30.17290587,Relatively Low
407000,6001407000,8,5088.356078,40.14769538,Relatively Low
407101,6001407101,8,2915.275964,32.20282548,Relatively Low
407102,6001407102,8,3708.138993,35.43856728,Relatively Low
407200,6001407200,8,6359.670775,43.72591923,Relatively Low
407300,6001407300,7.353194402,3152.637727,33.22789326,Relatively Low
407400,6001407400,8,3934.66364,36.26385387,Relatively Low
407500,6001407500,8,4105.067232,36.87984588,Relatively Low
407600,6001407600,8,4822.767213,39.34738144,Relatively Low
407700,6001407700,8,2850.328239,31.91980212,Relatively Low
407800,6001407800,8,1496.530771,25.08086382,Relatively Low
407900,6001407900,8,1637.063947,25.97750083,Relatively Low
408000,6001408000,20.05427337,3453.335742,34.45155306,Relatively Low
408100,6001408100,19.42030581,6629.482165,44.38947819,Relatively Low
408200,6001408200,8,3144.589387,33.19102887,Relatively Low
408300,6001408300,8,3272.19841,33.72734624,Relatively Low
408400,6001408400,8,3175.821691,33.33729725,Relatively Low
408500,6001408500,8,5052.2699,40.01569709,Relatively Low
408600,6001408600,8,5474.439176,41.27859963,Relatively Low
408700,6001408700,8,6827.975026,44.87228274,Relatively Low
408800,6001408800,8,6440.534923,43.93878133,Relatively Low
408900,6001408900,8,3600.112897,35.02711316,Relatively Low
409000,6001409000,6.236649826,4481.672975,38.24026067,Relatively Low
409100,6001409100,8,1705.382119,26.33425296,Relatively Low
409200,6001409200,8,2772.227467,31.53213148,Relatively Low
409300,6001409300,8,5107.685693,40.19526233,Relatively Low
409400,6001409400,8,4440.85587,38.10112734,Relatively Low
409500,6001409500,8,4027.055559,36.620606,Relatively Low
409600,6001409600,8,4986.567707,39.80878086,Relatively Low
409700,6001409700,8,5069.53184,40.08348,Relatively Low
409800,6001409800,8,2297.936294,29.42372639,Relatively Low
409900,6001409900,8,1745.607423,26.56852019,Relatively Low
410000,6001410000,8,1434.245665,24.68249061,Relatively Low
410100,6001410100,8,2178.732123,28.78514008,Relatively Low
410200,6001410200,8,2756.890721,31.4584027,Relatively Low
410300,6001410300,8,3105.154747,33.0221662,Relatively Low
410400,6001410400,8,3256.015343,33.66313086,Relatively Low
410500,6001410500,8,2126.014135,28.54611616,Relatively Low
420100,6001420100,8,998.4539998,21.79636588,Relatively Low
420200,6001420200,8,2030.08003,28.07044665,Relatively Low
420301,6001420301,8,1530.372295,25.27826666,Relatively Low
420302,6001420302,3.155647639,1353.451605,24.19136184,Relatively Low
420401,6001420401,8,953.127553,21.48480236,Relatively Low
420402,6001420402,2.474879798,1303.959146,23.89525758,Relatively Low
420500,6001420500,8,1568.129659,25.52680398,Relatively Low
420600,6001420600,8,1611.729487,25.81458403,Relatively Low
421100,6001421100,8,752.022869,20.05779384,Relatively Low
421200,6001421200,8,1237.072904,23.46120915,Relatively Low
421300,6001421300,8,1624.441338,25.91209628,Relatively Low
421400,6001421400,8,653.2884196,19.34428959,Relatively Low
421500,6001421500,8.532855836,1423.824707,24.60995101,Relatively Low
421600,6001421600,11.54963631,2207.240334,28.95638111,Relatively Low
421700,6001421700,8,2123.221701,28.53184607,Relatively Low
421800,6001421800,8,1004.448771,21.85225705,Relatively Low
421900,6001421900,8,2220.631927,29.01821814,Relatively Low
422000,6001422000,3.573833914,2536.928508,30.48684774,Relatively Low
422100,6001422100,8,1770.463548,26.69932931,Relatively Low
422200,6001422200,8,1741.260906,26.54592589,Relatively Low
422300,6001422300,8,2054.180827,28.20244494,Relatively Low
422400,6001422400,8,2453.962128,30.12058222,Relatively Low
422500,6001422500,8,3539.036888,34.79046758,Relatively Low
422700,6001422700,8,3418.162705,34.32312229,Relatively Low
422800,6001422800,8,7713.783466,46.9723636,Relatively Low
422901,6001422901,8,1565.709246,25.51847976,Relatively Low
422902,6001422902,8,2043.335958,28.14179708,Relatively Low
423000,6001423000,8,2720.32632,31.30143177,Relatively Low
423100,6001423100,8,3216.589067,33.51329496,Relatively Low
423200,6001423200,8,1850.84448,27.14526947,Relatively Low
423300,6001423300,8,2630.36604,30.92089616,Relatively Low
423400,6001423400,8,3563.523839,34.87489892,Relatively Low
423500,6001423500,8,2492.112114,30.28112068,Relatively Low
423601,6001423601,8,1594.719663,25.70636921,Relatively Low
423602,6001423602,8,3721.591781,35.4968368,Relatively Low
423700,6001423700,8,2375.220944,29.7590734,Relatively Low
423800,6001423800,8,1288.802432,23.80844789,Relatively Low
423901,6001423901,8,1210.459038,23.27094135,Relatively Low
423902,6001423902,8,670.2578822,19.44893688,Relatively Low
424001,6001424001,8,3166.144057,33.2849736,Relatively Low
424002,6001424002,8,1742.091299,26.54949341,Relatively Low
425101,6001425101,1.902983123,840.6538878,20.6761642,Relatively Low
425102,6001425102,8,1853.680576,27.1571612,Relatively Low
425103,6001425103,8,1446.516795,24.75740855,Relatively Low
425104,6001425104,8,2853.121344,31.93407221,Relatively Low
426100,6001426100,8,2348.2221,29.64015602,Relatively Low
426200,6001426200,8,2094.936505,28.40579365,Relatively Low
427100,6001427100,6.331000541,1842.520276,27.0846216,Relatively Low
427200,6001427200,5.19218771,3300.6718,33.84864196,Relatively Low
427300,6001427300,5.809676147,3772.980983,35.67640204,Relatively Low
427600,6001427600,8,3353.40645,34.06388241,Relatively Low
427700,6001427700,4.542830601,2842.930772,31.871046,Relatively Low
427800,6001427800,8,2809.592525,31.7033725,Relatively Low
427900,6001427900,8,2932.613217,32.28012177,Relatively Low
428000,6001428000,8,2002.671794,27.93844837,Relatively Low
428100,6001428100,7.767339663,3068.153327,32.86400609,Relatively Low
428200,6001428200,5.570739788,3758.318959,35.62526756,Relatively Low
428301,6001428301,5.647269324,3571.65582,34.90938496,Relatively Low
428302,6001428302,5.951802091,3710.559179,35.44808067,Relatively Low
428400,6001428400,3.388820708,3177.644045,33.34562146,Relatively Low
428500,6001428500,5.465642344,2603.032169,30.79722209,Relatively Low
428600,6001428600,4.093154243,2256.872353,29.22156686,Relatively Low
428700,6001428700,5.716649296,3801.709562,35.79175189,Relatively Low
430101,6001430101,22.26740239,4730.219989,39.06197974,Relatively Low
430102,6001430102,14.56818928,1171.268914,23.00099891,Relatively Low
430200,6001430200,8,4271.59787,37.48275698,Relatively Low
430300,6001430300,8,1958.907596,27.70893783,Relatively Low
430400,6001430400,8,1031.456868,22.03776816,Relatively Low
430500,6001430500,8,5280.689968,40.68282357,Relatively Low
430600,6001430600,8,4060.966649,36.73952338,Relatively Low
430700,6001430700,8,2406.090302,29.90772012,Relatively Low
430800,6001430800,8,4294.048743,37.55053988,Relatively Low
430900,6001430900,8,4155.417903,37.06773534,Relatively Low
431000,6001431000,8,2175.339344,28.76730248,Relatively Low
431100,6001431100,8,2352.860396,29.6591828,Relatively Low
431200,6001431200,8,4101.300724,36.86795415,Relatively Low
432100,6001432100,8,2377.825618,29.77096513,Relatively Low
432200,6001432200,8,2843.327281,31.87461352,Relatively Low
432300,6001432300,8,2894.370364,32.11006992,Relatively Low
432400,6001432400,6.087014613,4975.02195,39.7707273,Relatively Low
432501,6001432501,8,3387.144234,34.20420492,Relatively Low
432502,6001432502,8,3775.603934,35.69186129,Relatively Low
432601,6001432601,8,3298.796526,33.84031775,Relatively Low
432602,6001432602,8,2501.001205,30.32274176,Relatively Low
432700,6001432700,8,1495.227373,25.07491795,Relatively Low
432800,6001432800,8,2059.509655,28.22979594,Relatively Low
433000,6001433000,8,2714.546758,31.26456738,Relatively Low
433102,6001433102,8,2907.340549,32.16715026,Relatively Low
433103,6001433103,8,2893.821379,32.10769158,Relatively Low
433104,6001433104,8,3633.104768,35.15078723,Relatively Low
433200,6001433200,8,6076.508615,42.95533463,Relatively Low
433300,6001433300,8,4999.727879,39.84921277,Relatively Low
433400,6001433400,4.797428263,4477.295118,38.22004471,Relatively Low
433500,6001433500,8,3050.94423,32.78076393,Relatively Low
433600,6001433600,8,4543.222503,38.46144699,Relatively Low
