OBJECTID,FID_J26E9A6B5ECFE4F988DA8AC7353,GEOID10,,CT10,Fips1,Fips,City,treecanopy,CTBG10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,Common Name,,Shape__Area,Shape__Length,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_Pv_P,TC_P_P,TC_Pi_P,FID_L7City_Boundary,CITY,AnalysisArea
1,1,60372932023,6037,293202,6037293202,06037293202,Harbor City,6.31732931,2932023,0.2272,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,1,854741.8281,3969.642716,400204.6875,459042.1875,6335029.688,2628660.938,3087703.125,7.24609371,48.74015241,41.4940587,1,IN,0.22690507
2,2,60372941201,6037,294120,6037294120,06037294120,Wilmington,3.02512487,2941201,0.3144,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Wilmington,2,1181928.551,4740.179406,265134.375,970214.0625,8764410.938,5959153.125,6929367.188,11.06992894,79.06255465,67.99262572,1,IN,0.31299374
3,3,60372932022,6037,293202,6037293202,06037293202,Harbor City,9.21755586,2932022,0.0965,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,3,362955.2578,3351.3429,247964.0625,701423.4375,2690128.125,683845.3125,1385268.75,26.07397882,51.49452686,25.42054805,1,IN,0.09626843
4,4,60372932021,6037,293202,6037293202,06037293202,Harbor City,12.94840175,2932021,0.0827,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,4,310985.3008,3425.822833,298265.625,578770.3125,2303493.75,468843.75,1047614.063,25.12576005,45.47935337,20.35359332,1,IN,0.08237753
5,5,60372941101,6037,294110,6037294110,06037294110,Wilmington,11.41054075,2941101,0.1251,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Wilmington,5,470437.9766,3326.532841,397926.5625,978890.625,3487359.375,742823.4375,1721714.063,28.06968023,49.37013589,21.30045566,1,IN,0.1208536
6,6,60372932011,6037,293201,6037293201,06037293201,Harbor City,10.06869074,2932011,0.1244,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,6,467993.3203,3124.568175,348975,765028.125,3465942.188,959076.5625,1724104.688,22.07273185,49.74418482,27.67145297,1,IN,0.1243613
7,7,60372932013,6037,293201,6037293201,06037293201,Harbor City,12.21957258,2932013,0.1328,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,7,499815.5859,2917.068705,452531.25,788076.5625,3703331.25,907157.8125,1695234.375,21.28020718,45.77593147,24.49572429,1,IN,0.13248204
8,8,60372932012,6037,293201,6037293201,06037293201,Harbor City,13.30020632,2932012,0.1562,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,8,587672.1914,3440.760652,579276.5625,1172601.563,4355395.313,919757.8125,2092359.375,26.92296516,48.04063064,21.11766548,1,IN,0.15601385
9,9,60372920004,6037,292000,6037292000,06037292000,Harbor City,16.24878748,2920004,0.0957,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,9,360191.2891,2958.612924,433434.375,762117.1875,2667487.5,515010.9375,1277128.125,28.57060014,47.87756737,19.30696723,1,IN,0.09557155
10,10,60372920001,6037,292000,6037292000,06037292000,Harbor City,13.35407592,2920001,0.0851,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,10,320209.6484,3038.26542,316870.3125,698343.75,2372835.938,371418.75,1069762.5,29.43076422,45.08371114,15.65294693,1,IN,0.08507558
11,11,60371033001,6037,103300,6037103300,06037103300,Shadow Hills,25.13830664,1033001,1.1082,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Shadow Hills,11,4212090.855,9151.750584,7766310.938,15096107.81,30894328.13,3659821.875,18755929.69,48.86368705,60.70994524,11.84625819,1,IN,1.10826955
12,12,60372913003,6037,291300,6037291300,06037291300,Harbor Gateway,11.36721003,2913003,0.1408,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,12,530153.9375,3161.188389,446287.5,795051.5625,3926095.313,1067259.375,1862310.938,20.25043967,47.43417542,27.18373575,1,IN,0.14076989
13,13,60372912202,6037,291220,6037291220,06037291220,Harbor Gateway,13.24033168,2912202,0.1911,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,13,719955.1797,3567.985581,705515.625,1106507.813,5328534.375,1022343.75,2128851.563,20.76570656,39.95191572,19.18620915,1,IN,0.19099544
14,17,60376031012,6037,603101,6037603101,06037603101,Gardena,10.68846809,6031012,0.1188,BG 2,28168,28168,Gardena,Gardena,City of Gardena,17,447646.1133,2827.206026,354093.75,589303.125,3312857.813,848109.375,1437412.5,17.78836154,43.38889809,25.60053655,1,IN,2.67E-05
15,21,60371065101,6037,106510,6037106510,06037106510,Sylmar,16.13289648,1065101,0.3958,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Sylmar,21,1506744.117,7941.820527,1780242.188,2845687.5,11034857.81,2492212.5,5337900,25.78816645,48.37307459,22.58490814,1,IN,0.39585964
16,37,60375436021,6037,543602,6037543602,06037543602,West Carson,8.97254232,5436021,0.3036,BG 1,84144,99037,West Carson,Unincorporated,LA County - West Carson,37,1142159.434,5779.117116,759557.8125,1431267.188,8465357.813,2208121.875,3639389.063,16.90734425,42.99155621,26.08421196,1,IN,0.00084531
17,38,60375435021,6037,543502,6037543502,06037543502,West Carson,11.22748415,5435021,0.1728,BG 1,84144,99037,West Carson,Unincorporated,LA County - West Carson,38,650228.8398,4321.675653,540731.25,1068004.688,4816139.063,1531518.75,2599523.438,22.17553675,53.97525702,31.79972028,1,IN,0.00104269
18,42,60371066031,6037,106603,6037106603,06037106603,Granada Hills,11.53325283,1066031,1.6701,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Granada Hills,42,6357575.836,12456.55622,5370032.813,34249050,46561303.13,2300442.188,36549492.19,73.55689747,78.49757145,4.94067398,1,IN,1.67029939
