GEOID,heatrisk_class,City,Tree Canopy Class,RentBurden_class
6037620102,0,El Segundo,2,0
6037620101,1,El Segundo,1,1
6037620101,1,El Segundo,1,1
6037278102,0,Playa Del Rey,0,1
6037278102,0,Playa Del Rey,2,1
6037278102,0,Playa Del Rey,1,1
6037297300,0,San Pedro,1,2
6037297300,0,San Pedro,1,2
6037297300,0,San Pedro,0,2
6037297400,0,San Pedro,2,1
6037297400,0,San Pedro,1,1
6037297400,0,San Pedro,1,1
6037297202,0,San Pedro,0,1
6037297202,0,San Pedro,1,1
6037297202,0,San Pedro,1,1
6037609900,0,La Rambla,2,2
6037609900,0,La Rambla,1,2
6037296401,0,San Pedro,2,2
6037296401,0,San Pedro,2,2
6037296402,0,San Pedro,3,2
6037296402,0,San Pedro,1,2
6037296402,0,San Pedro,1,2
6037670702,0,Rancho Palos Verdes,4,3
6037670702,0,Rancho Palos Verdes,3,3
6037670702,0,Rancho Palos Verdes,3,3
6037296300,1,San Pedro,1,3
6037296300,1,San Pedro,2,3
6037670701,1,Rancho Palos Verdes,1,2
6037670701,1,Rancho Palos Verdes,2,2
6037670701,1,Rancho Palos Verdes,2,2
6037293306,0,Harbor City,2,1
6037293306,0,Harbor City,2,1
6037293307,0,Harbor City,1,3
6037293307,0,Harbor City,0,3
6037296220,1,San Pedro,1,2
6037296220,1,San Pedro,1,2
6037296220,1,San Pedro,1,2
6037296210,1,San Pedro,1,3
6037296210,1,San Pedro,0,3
6037296210,1,San Pedro,1,3
6037296500,1,San Pedro,0,2
6037296500,1,San Pedro,2,2
6037296500,1,San Pedro,1,2
6037295103,0,Wilmington,2,3
6037295103,0,Wilmington,0,3
6037294830,1,Wilmington,0,2
6037294830,1,Wilmington,0,2
6037294900,1,Wilmington,0,3
6037294900,1,Wilmington,0,3
6037294701,1,Wilmington,0,4
6037294701,1,Wilmington,0,4
6037294701,1,Wilmington,0,4
6037980015,0,Harbor City,0,3
6037294810,1,Wilmington,0,3
6037294810,1,Wilmington,0,3
6037294820,1,Wilmington,0,4
6037294820,1,Wilmington,0,4
6037294302,1,Wilmington,0,3
6037294302,1,Wilmington,0,3
6037294510,1,Wilmington,1,3
6037294510,1,Wilmington,1,3
6037294520,1,Wilmington,1,3
6037294520,1,Wilmington,1,3
6037294610,1,Wilmington,1,2
6037294610,1,Wilmington,2,2
6037294421,0,Harbor City,0,3
6037294421,0,Harbor City,0,3
6037294421,0,Harbor City,0,3
6037294410,1,Harbor City,1,2
6037294410,1,Harbor City,0,2
6037294301,0,Wilmington,1,4
6037294301,0,Wilmington,1,4
6037294200,1,Wilmington,0,3
6037294200,1,Wilmington,0,3
6037294200,1,Wilmington,0,3
6037294110,1,Wilmington,0,3
6037294110,1,Wilmington,0,3
6037294110,1,Wilmington,0,3
6037293304,1,Harbor City,0,3
6037293304,1,Harbor City,0,3
6037670002,1,Lomita,1,1
6037293302,1,Harbor City,1,3
6037293302,1,Harbor City,0,3
6037293301,0,Harbor City,0,3
6037651001,1,Torrance,1,4
6037651001,1,Torrance,1,4
6037297601,0,San Pedro,1,3
6037297601,0,San Pedro,1,3
6037297601,0,San Pedro,1,3
6037297602,0,San Pedro,1,2
6037297602,0,San Pedro,1,2
6037297602,0,San Pedro,1,2
6037297201,1,San Pedro,0,3
6037297201,1,San Pedro,0,3
6037297120,1,San Pedro,0,3
6037297120,1,San Pedro,0,3
6037296901,1,San Pedro,1,2
6037296901,1,San Pedro,0,2
6037296901,1,San Pedro,0,2
6037297110,1,San Pedro,0,3
6037297110,1,San Pedro,0,3
6037296902,1,San Pedro,0,3
6037296902,1,San Pedro,0,3
6037296902,1,San Pedro,0,3
6037980031,0,San Pedro,0,0
6037296600,1,San Pedro,0,3
6037296600,1,San Pedro,0,3
6037296600,1,San Pedro,1,3
6037296600,1,San Pedro,0,3
6037294620,1,Wilmington,0,1
6037294620,1,Wilmington,0,1
6037294620,1,Wilmington,0,1
6037980014,0,Wilmington,0,4
6037294120,0,Wilmington,0,2
6037294120,0,Wilmington,0,2
6037294120,0,Wilmington,0,2
6037572600,1,Long Beach,1,0
6037543703,0,Carson,0,2
6037543603,0,West Carson,0,2
6037543905,1,Carson,0,3
6037572301,1,Long Beach,0,2
6037544002,0,Long Beach,1,2
6037543503,1,West Carson,0,1
6037543503,1,West Carson,0,1
6037543502,1,West Carson,0,2
6037543502,1,West Carson,0,2
6037543502,1,West Carson,1,2
6037543501,2,Carson,0,2
6037543400,1,Carson,0,4
6037291300,0,Harbor Gateway,0,1
6037291300,0,Harbor Gateway,0,1
6037291300,0,Harbor Gateway,1,1
6037650901,1,Torrance,0,2
6037650901,1,Torrance,1,2
6037650901,1,Torrance,1,2
6037650101,1,Torrance,0,4
6037650101,1,Torrance,0,4
6037650200,1,Torrance,0,3
6037603200,0,Gardena,0,2
6037603200,0,Gardena,0,2
6037603200,0,Gardena,0,2
6037602900,1,Gardena,0,0
6037602900,1,Gardena,0,0
6037602802,1,Athens/Westmont,0,2
6037602802,1,Athens/Westmont,0,2
6037602801,1,Athens/Westmont,0,3
6037620001,0,El Segundo,1,2
6037620001,0,El Segundo,2,2
6037601600,1,Lennox,0,3
6037601502,1,Lennox,0,2
6037291220,1,Harbor Gateway,1,2
6037291220,1,Harbor Gateway,0,2
6037291220,1,Harbor Gateway,0,2
6037603102,1,Gardena,2,3
6037603101,1,Gardena,0,3
6037603101,1,Gardena,0,3
6037603101,1,Gardena,0,3
6037291210,1,Harbor Gateway,0,2
6037291210,1,Harbor Gateway,0,2
6037291210,1,Harbor Gateway,0,2
6037291130,0,Harbor Gateway,0,1
6037291130,0,Harbor Gateway,1,1
6037291130,0,Harbor Gateway,1,1
6037540902,1,Willowbrook,0,2
6037291120,0,Harbor Gateway,0,2
6037540901,1,Willowbrook,1,3
6037540901,1,Willowbrook,1,3
