GEOID,heatrisk_class,Tree Canopy Class
06037620102,0,2
06037620101,1,1
06037620101,1,1
06037278102,0,0
06037278102,0,2
06037278102,0,1
06037297300,0,1
06037297300,0,1
06037297300,0,0
06037297400,0,2
06037297400,0,1
06037297400,0,1
06037297202,0,0
06037297202,0,1
06037297202,0,1
06037609900,0,2
06037609900,0,1
06037296401,0,2
06037296401,0,2
06037296402,0,3
06037296402,0,1
06037296402,0,1
06037670702,0,4
06037670702,0,3
06037670702,0,3
06037296300,1,1
06037296300,1,2
06037670701,1,1
06037670701,1,2
06037670701,1,2
06037293306,0,2
06037293306,0,2
06037293307,0,1
06037293307,0,0
06037296220,1,1
06037296220,1,1
06037296220,1,1
06037296210,1,1
06037296210,1,0
06037296210,1,1
06037296500,1,0
06037296500,1,2
06037296500,1,1
06037295103,1,2
06037295103,1,0
06037294830,1,0
06037294830,1,0
06037294900,1,0
06037294900,1,0
06037294701,1,0
06037294701,1,0
06037294701,1,0
06037980015,0,0
06037294810,1,0
06037294810,1,0
06037294820,1,0
06037294820,1,0
06037294302,1,0
06037294302,1,0
06037294510,1,1
06037294510,1,1
06037294520,1,1
06037294520,1,1
06037294610,1,1
06037294610,1,2
06037294421,1,0
06037294421,1,0
06037294421,1,0
06037294410,2,1
06037294410,2,0
06037294301,0,1
06037294301,0,1
06037294200,1,0
06037294200,1,0
06037294200,1,0
06037294110,1,0
06037294110,1,0
06037294110,1,0
06037293304,1,0
06037293304,1,0
06037670002,1,1
06037293302,1,1
06037293302,1,0
06037293301,0,0
06037651001,2,1
06037651001,2,1
06037297601,0,1
06037297601,0,1
06037297601,0,1
06037297602,0,1
06037297602,0,1
06037297602,0,1
06037297201,1,0
06037297201,1,0
06037297120,1,0
06037297120,1,0
06037296901,1,1
06037296901,1,0
06037296901,1,0
06037297110,1,0
06037297110,1,0
06037296902,1,0
06037296902,1,0
06037296902,1,0
06037980031,0,0
06037296600,2,0
06037296600,2,0
06037296600,2,1
06037296600,2,0
06037980033,0,0
06037294620,1,0
06037294620,1,0
06037294620,1,0
06037980014,0,0
06037294120,0,0
06037294120,0,0
06037294120,0,0
06037572600,1,1
06037543703,1,0
06037543603,1,0
06037543905,1,0
06037980002,0,0
06037572301,1,0
06037544002,0,1
06037543503,2,0
06037543503,2,0
06037543502,1,0
06037543502,1,0
06037543502,1,1
06037543501,2,0
06037543400,1,0
06037291300,0,0
06037291300,0,0
06037291300,0,1
06037650901,1,0
06037650901,1,1
06037650901,1,1
06037980005,0,0
06037650101,1,0
06037650101,1,0
06037650200,1,0
06037603200,0,0
06037603200,0,0
06037603200,0,0
06037980030,0,0
06037980013,0,0
06037602900,1,0
06037602900,1,0
06037602802,1,0
06037602802,1,0
06037602801,1,0
06037620001,0,1
06037620001,0,2
06037601600,1,0
06037980028,0,0
06037601502,1,0
06037277400,0,1
06037277400,0,1
06037291220,1,1
06037291220,1,0
06037291220,1,0
06037603102,1,2
06037603101,1,0
06037603101,1,0
06037603101,1,0
06037291210,2,0
06037291210,2,0
06037291210,2,0
06037291130,0,0
06037291130,0,1
06037291130,0,1
06037540902,1,0
06037291120,0,0
06037540901,2,1
06037540901,2,1
06037540901,2,0
06037540901,2,1
06037291110,1,0
06037291110,1,1
06037241400,1,1
06037241400,1,1
06037241002,1,0
06037241002,1,1
06037241002,1,1
06037241300,0,0
06037241300,0,0
06037540501,2,0
06037540600,1,1
06037540700,1,1
06037540700,1,1
06037540700,1,0
06037242600,2,0
06037242600,2,0
06037242600,2,0
06037540400,0,0
06037540400,0,1
06037243100,2,0
06037243100,2,1
06037243100,2,1
06037540300,1,0
06037242700,2,0
06037242700,2,0
06037242700,2,1
06037242700,2,1
06037242700,2,1
06037241001,1,0
06037241001,1,0
06037241001,1,0
06037241202,2,0
06037241202,2,0
06037241202,2,0
06037241202,2,0
06037241202,2,0
06037600304,1,1
06037600304,1,0
06037241120,2,0
06037241120,2,0
06037241120,2,0
06037241120,2,0
06037241110,1,0
06037241110,1,0
06037240800,1,0
06037240800,1,0
06037240800,1,1
06037241201,1,0
06037241201,1,1
06037241201,1,0
06037240402,1,0
06037240402,1,0
06037240402,1,1
06037242000,1,1
06037242000,1,1
