GEOID,heatrisk_class,City,Tree Canopy Class
06037620102,0,El Segundo,2
06037620101,1,El Segundo,1
06037620101,1,El Segundo,1
06037278102,0,Playa Del Rey,0
06037278102,0,Playa Del Rey,2
06037278102,0,Playa Del Rey,1
06037297300,0,San Pedro,1
06037297300,0,San Pedro,1
06037297300,0,San Pedro,0
06037297400,0,San Pedro,2
06037297400,0,San Pedro,1
06037297400,0,San Pedro,1
06037297202,0,San Pedro,0
06037297202,0,San Pedro,1
06037297202,0,San Pedro,1
06037609900,0,La Rambla,2
06037609900,0,La Rambla,1
06037296401,0,San Pedro,2
06037296401,0,San Pedro,2
06037296402,0,San Pedro,3
06037296402,0,San Pedro,1
06037296402,0,San Pedro,1
06037670702,0,Rancho Palos Verdes,4
06037670702,0,Rancho Palos Verdes,3
06037670702,0,Rancho Palos Verdes,3
06037296300,1,San Pedro,1
06037296300,1,San Pedro,2
06037670701,1,Rancho Palos Verdes,1
06037670701,1,Rancho Palos Verdes,2
06037670701,1,Rancho Palos Verdes,2
06037293306,0,Harbor City,2
06037293306,0,Harbor City,2
06037293307,0,Harbor City,1
06037293307,0,Harbor City,0
06037296220,1,San Pedro,1
06037296220,1,San Pedro,1
06037296220,1,San Pedro,1
06037296210,1,San Pedro,1
06037296210,1,San Pedro,0
06037296210,1,San Pedro,1
06037296500,1,San Pedro,0
06037296500,1,San Pedro,2
06037296500,1,San Pedro,1
06037295103,0,Wilmington,2
06037295103,0,Wilmington,0
06037294830,1,Wilmington,0
06037294830,1,Wilmington,0
06037294900,1,Wilmington,0
06037294900,1,Wilmington,0
06037294701,1,Wilmington,0
06037294701,1,Wilmington,0
06037294701,1,Wilmington,0
06037980015,0,Harbor City,0
06037294810,1,Wilmington,0
06037294810,1,Wilmington,0
06037294820,1,Wilmington,0
06037294820,1,Wilmington,0
06037294302,1,Wilmington,0
06037294302,1,Wilmington,0
06037294510,1,Wilmington,1
06037294510,1,Wilmington,1
06037294520,1,Wilmington,1
06037294520,1,Wilmington,1
06037294610,1,Wilmington,1
06037294610,1,Wilmington,2
06037294421,0,Harbor City,0
06037294421,0,Harbor City,0
06037294421,0,Harbor City,0
06037294410,1,Harbor City,1
06037294410,1,Harbor City,0
06037294301,0,Wilmington,1
06037294301,0,Wilmington,1
06037294200,1,Wilmington,0
06037294200,1,Wilmington,0
06037294200,1,Wilmington,0
06037294110,1,Wilmington,0
06037294110,1,Wilmington,0
06037294110,1,Wilmington,0
06037293304,1,Harbor City,0
06037293304,1,Harbor City,0
06037670002,1,Lomita,1
06037293302,1,Harbor City,1
06037293302,1,Harbor City,0
06037293301,0,Harbor City,0
06037651001,1,Torrance,1
06037651001,1,Torrance,1
06037297601,0,San Pedro,1
06037297601,0,San Pedro,1
06037297601,0,San Pedro,1
06037297602,0,San Pedro,1
06037297602,0,San Pedro,1
06037297602,0,San Pedro,1
06037297201,1,San Pedro,0
06037297201,1,San Pedro,0
06037297120,1,San Pedro,0
06037297120,1,San Pedro,0
06037296901,1,San Pedro,1
06037296901,1,San Pedro,0
06037296901,1,San Pedro,0
06037297110,1,San Pedro,0
06037297110,1,San Pedro,0
06037296902,1,San Pedro,0
06037296902,1,San Pedro,0
06037296902,1,San Pedro,0
06037980031,0,San Pedro,0
06037296600,1,San Pedro,0
06037296600,1,San Pedro,0
06037296600,1,San Pedro,1
06037296600,1,San Pedro,0
